Nome,Punteggio,Fantamedia anno 2022-2023,Fantamedia anno 2021-2022,Fantamedia anno 2020-2021,Presenze 2022-2023,Fanta Media 2022-2023,FM su tot gare 2022-2023,Presenze previste,Gol previsti,Assist previsti,Ruolo,Skills,Buon investimento,Resistenza infortuni,Consigliato prossima giornata,Nuovo acquisto,Infortunato,Squadra,Trend,Presenze campionato corrente
BECAO RODRIGO,64,6.02,6.13,5.83,28,6.02,4.44,30+,3/5,0/2,DIF,"['Titolare', 'Buona Media', 'Goleador']",40,60,False,False,False,Udinese,DOWN,28
MAGNANI GIANGIACOMO,64,5.58,5.61,5.83,24,5.58,3.52,11/20,0/1,0/1,DIF,['Panchinaro'],40,40,True,False,False,Verona,DOWN,24
HIEN ISAK,64,5.80,nd,nd,32,5.80,4.88,21/30,0/2,0/2,DIF,['Titolare'],40,60,False,False,False,Verona,STABLE,32
BONIFAZI KEVIN,64,5.65,5.41,5.80,13,5.65,1.93,21/30,0/3,0/3,DIF,"['Titolare', 'Goleador']",40,40,False,False,False,Bologna,UP,13
ZAPPA GABRIELE,63,nd,5.64,5.94,0,0.00,0.00,21/30,0/3,0/3,DIF,"['Outsider', 'Titolare', 'Buona Media', 'Assistman', 'Falloso']",40,60,False,False,False,Cagliari,STABLE,0
BIJOL JAKA,63,6.03,nd,nd,32,6.03,5.08,21/30,0/3,0/2,DIF,"['Outsider', 'Titolare', 'Buona Media', 'Goleador']",40,60,False,False,False,Udinese,STABLE,32
BONUCCI LEONARDO,63,6.00,6.91,6.16,11,6.00,1.74,30+,3/5,0/3,DIF,"['Fuoriclasse', 'Titolare', 'Buona Media']",80,60,False,False,False,Juventus,DOWN,11
THIAW MALICK,63,5.79,nd,nd,19,5.79,2.90,11/20,0/3,0/1,DIF,"['Panchinaro', 'Buona Media']",40,60,False,False,False,Milan,STABLE,19
STOJANOVIC PETAR,63,5.67,5.79,nd,23,5.67,3.43,21/30,0/1,0/2,DIF,['Titolare'],40,60,False,False,False,Empoli,DOWN,23
CALDIROLA LUCA,63,6.03,nd,5.91,30,6.03,4.76,21/30,0/1,0/1,DIF,"['Titolare', 'Falloso']",40,60,False,False,False,Monza,STABLE,30
IZZO ARMANDO,62,5.97,5.63,6.14,29,5.97,4.56,21/30,0/3,0/3,DIF,"['Titolare', 'Buona Media', 'Falloso']",60,80,False,False,False,Monza,UP,29
ZORTEA NADIR,62,6.10,5.96,nd,15,6.10,2.41,11/20,0/3,0/3,DIF,"['Panchinaro', 'Giovane talento']",40,60,True,True,False,Sassuolo,UP,15
BALLO-TOURE FODE',62,6.29,5.50,nd,7,6.29,1.16,11/20,0/3,0/3,DIF,['Panchinaro'],40,60,False,False,False,Milan,UP,7
WEAH TIMOTHY,62,nd,nd,nd,0,0.00,0.00,21/30,3/5,3/5,DIF,"['Titolare', 'Assistman']",40,60,False,True,False,Juventus,STABLE,0
BEUKEMA SAM,62,nd,nd,nd,0,0.00,0.00,21/30,0/3,0/2,DIF,"['Titolare', 'Goleador']",40,60,False,True,False,Bologna,STABLE,0
HEFTI SILVAN,62,nd,5.78,nd,0,0.00,0.00,21/30,0/2,0/2,DIF,"['Titolare', 'Buona Media', 'Falloso']",40,40,False,False,False,Genoa,STABLE,0
MARI' VILLAR PABLO,62,5.97,6.63,nd,29,5.97,4.56,21/30,0/2,0/1,DIF,"['Titolare', 'Buona Media']",40,60,True,False,False,Monza,DOWN,29
RANIERI LUCA,61,6.19,5.65,nd,8,6.19,1.30,21/30,0/2,0/1,DIF,"['Panchinaro', 'Buona Media', 'Giovane talento']",40,80,False,False,False,Fiorentina,UP,8
BELLANOVA RAOUL,61,6.00,5.90,nd,11,6.00,1.74,11/20,0/3,0/3,DIF,"['Outsider', 'Panchinaro', 'Giovane talento']",40,80,False,False,False,Torino,UP,11
VASQUEZ JOHAN,61,5.76,5.88,nd,23,5.76,3.49,11/20,0/3,0/2,DIF,"['Panchinaro', 'Falloso']",40,80,False,True,False,Genoa,DOWN,23
PELLEGRINI LUCA,61,5.83,5.97,5.70,3,5.83,0.46,11/20,0/3,0/3,DIF,"['Outsider', 'Panchinaro', 'Buona Media']",60,60,False,True,False,Lazio,DOWN,3
DAWIDOWICZ PAWEL,60,5.80,5.67,5.72,22,5.80,3.36,21/30,0/2,0/2,DIF,['Titolare'],40,60,False,False,True,Verona,UP,22
LAZARO VALENTINO,60,6.05,nd,nd,20,6.05,3.18,11/20,0/3,0/2,DIF,['Panchinaro'],40,60,False,False,False,Torino,STABLE,20
GATTI FEDERICO,60,5.81,nd,nd,16,5.81,2.45,0/10,0,0,DIF,['Titolare'],20,20,False,False,False,Juventus,STABLE,16
