Nome,Squadra,Trend Stagionale,Ratio Gol/Pres,Presenze,Buon Investimento,Resistenza Infortuni,Infortunato,Trend,Skill Value,Punteggio Base,Nuovo Acquisto,Punteggio,Livello di confidenza
FAVILLI ANDREA,Genoa,0.0,0.4,0.36666666666666664,0.4,0.2,False,0.5,-0.65,49,True,41.66,0.5
KALLON YAYAH,Verona,-0.5,0.11,0.7,0.4,0.6,False,1,0.1,49,False,47.98,1.0
BIDAOUI SOUFIANE,Frosinone,0.0,0.0,0.0,0.2,0.6,False,0.5,-0.4,49,False,38.49,0.5
SATRIANO MARTIN,Empoli,0.1,0.0,0.36666666666666664,0.2,0.6,False,1,0.15,49,False,44.02,0.75
SOULE' MATIAS,Juventus,0.0,0.0,0.0,0.6,0.4,False,0.5,-0.4,48,False,39.64,0.5
ZERBIN ALESSIO,Napoli,0.0,0.0,0.0,0.2,0.2,False,0.5,-0.35,47,False,34.34,0.5
VALENCIA DIEGO,Salernitana,0.0,0.0,0.36666666666666664,0.4,0.6,False,0.5,-0.7,47,False,40.42,0.5
BAEZ JAIME,Frosinone,0.0,0.0,0.36666666666666664,0.4,0.6,False,0.5,-0.4,45,False,40.66,0.5
BRAAF JAYDEN,Verona,0.0,0.0,0.36666666666666664,0.4,0.4,False,0.5,-0.4,42,False,37.45,0.5
PUSCAS GEORGE,Genoa,0.0,0.22,0.36666666666666664,0.2,0.4,False,0.5,-0.4,0,False,15.97,0.5
CODA MASSIMO,Genoa,0.0,0.4,0.36666666666666664,0.4,0.4,False,0.5,-0.3,0,False,19.56,0.5
PULISIC CHRISTIAN,Milan,0.0,0.21,0.7,0.4,0.6,False,0.5,0.6,0,True,25.81,0.5
