,Giocatore,Miglioramento Stagionale,Gol/Presenze,Base Moltiplicativa,Base Additiva,Live Updates,Punteggio Goduria,Squadra
9,TOMORI FIKAYO,-0.044531250000000085,0.06999999999999999,25.712031249999992,12.0,0,47.94793941788717,Milan
48,FARAONI DAVIDE,-0.01796875000000003,0.09857142857142856,26.642187499999995,10.0,0,47.565881745035796,Verona
11,BASTONI ALESSANDRO,0.022656249999999926,0.06999999999999999,30.627187499999994,12.0,-5,47.42671149579125,Inter
64,SCHUURS PERR,0.0,0.06999999999999999,24.419999999999998,10.0,2,47.40069347974723,Torino
113,SOUMAORO ADAMA,-0.02343749999999998,0.06999999999999999,19.7540625,7.0,8,47.21529069066401,Bologna
58,BRADARIC DOMAGOJI,0.0,0.06393939393939393,24.38393939393939,1.0,7,47.21430276851707,Salernitana
88,BELLANOVA RAOUL,0.0078124999999999705,0.03666666666666667,21.01322916666666,4.0,8,46.4436850823027,Torino
70,BECAO RODRIGO,0.03828124999999994,0.11,28.689999999999994,14.0,-5,46.33953786498955,Udinese
76,BONUCCI LEONARDO,0.046093749999999975,0.11,28.733906249999997,13.0,-5,45.53403067650849,Juventus
23,IBANEZ ROGER,0.03671875000000004,0.06999999999999999,30.50390625,10.0,-5,45.507717058125436,Roma
108,ISMAJLI ARDIAN,-0.07734375,0.06999999999999999,16.681406250000002,10.0,8,45.341064141699405,Empoli
57,VOJVODA MERGIM,-0.0007812499999999831,0.06999999999999999,25.106875000000002,10.0,0,45.325902413818554,Torino
83,WEAH TIMOTHY,0.0,0.09857142857142856,24.71142857142857,7.0,2,45.21718421570354,Juventus
17,BASCHIROTTO FEDERICO,0.0,0.0,22.8,10.0,2,45.037157381023405,Lecce
126,JESUS JUAN,0.06406250000000001,0.03666666666666667,21.639375,1.0,8,44.74851923268981,Napoli
118,OSTIGARD LEO,0.03828125000000001,0.03666666666666667,20.997083333333332,2.0,8,44.68099831423163,Napoli
94,UDOGIE DESTINY,0.0882812499999999,0.06999999999999999,27.496874999999996,14.0,-5,44.59880082314395,Udinese
72,HIEN ISAK,0.0,0.06999999999999999,23.68,8.0,2,44.581923098633986,Verona
84,BEUKEMA SAM,0.0,0.06999999999999999,22.94,9.0,2,44.37184836969465,Bologna
79,CALDIROLA LUCA,0.018750000000000013,0.06999999999999999,24.491249999999997,6.0,2,44.026384429338854,Monza
39,BIRINDELLI SAMUELE,0.0,0.03666666666666667,23.903333333333332,6.0,2,43.16862994495117,Monza
15,BREMER GLAISON,-0.0039062499999999853,0.06999999999999999,28.18921875,11.0,-5,43.00021594001376,Juventus
38,GALLO ANTONINO,0.0,0.0,21.3,1.0,7,42.714918766139135,Lecce
65,LUCUMI' JHON,0.0,0.03666666666666667,22.22,8.0,2,42.45182266398164,Bologna
104,UMTITI SAMUEL,0.0,0.06999999999999999,21.46,9.0,2,42.21256847703337,Lecce
68,SINGO WILFRIED STEPHANE,0.03671875000000004,0.06999999999999999,26.43671875,13.0,-5,42.182496366763345,Torino
97,MARCHIZZA RICCARDO,-0.0,0.06999999999999999,22.2,-3.0,8,42.08819504543759,Frosinone
111,RUGANI DANIELE,-0.01562500000000001,0.03666666666666667,18.299375,3.0,8,41.61468017998008,Juventus
105,DANILIUC FLAVIUS,0.0,0.06999999999999999,21.46,8.0,2,41.34300325964207,Salernitana
20,RRAHMANI AMIR,0.008593750000000023,0.06999999999999999,28.39453125,8.0,-5,40.691065661462844,Napoli
32,CAMBIASO ANDREA,-0.007031249999999987,0.06999999999999999,26.49671875,11.0,-5,40.53090430600754,Bologna
33,CALABRIA DAVIDE,-0.0070312500000000566,0.06999999999999999,26.496718749999996,11.0,-5,40.53090430600753,Milan
114,NDICKA EVAN,0.0,0.06999999999999999,21.09,6.0,2,39.06405285169414,Roma
161,ZIMA DAVID,0.0,0.03666666666666667,15.823333333333334,4.0,8,38.87176770532756,Torino
69,HATEBOER HANS,-0.08984375000000001,0.09857142857142856,19.75857142857143,15.0,-2,38.79377544977482,Atalanta
154,ADOPO MICHEL,0.0,0.06999999999999999,17.759999999999998,11.0,2,38.553499180162774,Atalanta
43,LAZZARI MANUEL,-0.0578125,0.08428571428571428,23.179598214285715,14.0,-5,38.300010989058705,Lazio
145,TONELLI LORENZO,-0.07734374999999993,0.03666666666666667,13.225468750000003,7.0,8,37.69024933138759,Empoli
86,MARI' VILLAR PABLO,-0.0515625,0.06999999999999999,19.743125,10.0,0,37.500336519046975,Monza
127,AZZI PAULO,0.0,0.06999999999999999,19.98,6.0,2,37.44459293219818,Cagliari
119,WALUKIEWICZ SEBASTIAN,0.032031249999999935,0.0,18.261718749999996,-2.0,8,37.21191464474109,Empoli
50,KALULU PIERRE,0.03749999999999996,0.03666666666666667,25.8175,8.0,-5,36.93124690410827,Milan
77,THIAW MALICK,0.0,0.03666666666666667,21.21,3.0,2,36.63043394757384,Milan
128,ZEMURA JORDAN,0.0,0.06999999999999999,19.98,5.0,2,36.57502771480687,Udinese
151,BRONN DYLAN,0.0,0.06999999999999999,18.13,8.0,2,36.48462350115419,Salernitana
91,DAWIDOWICZ PAWEL,0.002343750000000019,0.06999999999999999,22.340625000000003,8.0,-2,36.47396511625189,Verona
12,ROGERIO OLIVEIRA,-0.007031249999999987,0.03666666666666667,25.7115625,7.0,-5,35.907121745075884,Sassuolo
144,SOPPY BRANDON,0.004687499999999969,0.0,15.539062499999996,1.0,8,35.848328610932874,Atalanta
110,MASINA ADAM,0.0,0.0,17.099999999999998,-1.0,7,34.848102149479914,Udinese
136,VITI MATTIA,-0.0,0.03666666666666667,17.506666666666668,-2.0,7,34.571852578270324,Sassuolo
150,TROOST-EKONG WILLIAM,0.0,0.06999999999999999,18.5,5.0,2,34.4157478221456,Salernitana
156,DOSSENA ALBERTO,0.0,0.06999999999999999,17.759999999999998,6.0,2,34.20567309320626,Cagliari
122,MARLON SANTOS,-0.006250000000000004,0.03666666666666667,18.17291666666667,5.0,2,33.93854210262445,Monza
138,CITTADINI GIORGIO,0.0,0.03666666666666667,17.506666666666668,6.0,2,33.83606662509307,Monza
93,GATTI FEDERICO,0.0,0.0,18.0,5.0,2,33.68626137192219,Juventus
125,DEST SERGINO GIANNI,0.0,0.06393939393939393,19.65272727272727,2.0,2,33.48885002248673,Milan
95,SAMBIA JUNIOR,0.0,0.03666666666666667,20.2,1.0,2,33.41774088333995,Salernitana
92,LAZARO VALENTINO,0.0,0.03666666666666667,20.2,1.0,2,33.41774088333995,Torino
66,IGOR DOS SANTOS,0.02031249999999998,0.03666666666666667,23.20364583333333,8.0,-5,33.11770450922162,Fiorentina
112,PIROLA LORENZO,0.0,0.03666666666666667,19.19,2.0,2,32.813743471279984,Salernitana
